sections_per_winding,frequency_hz,global_relative_error,Re_Y11_S,Im_Y11_S
8,562341.3251903491,4.952868317900956e-15,0.0005561854578063994,-0.039477110414849914
8,595662.1435290109,4.952868317900956e-15,0.0004957116659352915,-0.03725317080284851
8,630957.3444801943,4.952868317900956e-15,0.00044181213049431737,-0.035152534032469374
8,668343.9175686149,4.952868317900956e-15,0.0003937723645550204,-0.033168265116651274
8,707945.7843841374,4.952868317900956e-15,0.0003509554872589138,-0.03129381033677264
8,749894.2093324559,4.952868317900956e-15,0.00031279380353379464,-0.029522976216564856
8,794328.2347242822,4.952868317900956e-15,0.0002787812955452203,-0.027849909578267606
8,841395.1416451965,4.952868317900956e-15,0.00024846692754764907,-0.0262690786323429
8,891250.9381337459,4.952868317900956e-15,0.00022144867632650344,-0.02477525505268746
8,944060.8762859226,4.952868317900956e-15,0.00019736820883844508,-0.02336349699018131
8,1000000.0,4.952868317900956e-15,0.00017590613707673492,-0.02202913297848952
8,1059253.7251772897,4.952868317900956e-15,0.00015677778771413424,-0.02076774668730208
8,1122018.4543019652,4.952868317900956e-15,0.00013972943080024346,-0.019575162479535335
8,1188502.2274370189,4.952868317900956e-15,0.00012453491779708132,-0.01844743173043195
8,1258925.411794166,4.952868317900956e-15,0.0001109926846012653,-0.017380819867959946
8,1333521.432163324,4.952868317900956e-15,9.892307999102628e-05,-0.016371794095338593
8,1412537.5446227554,4.952868317900956e-15,8.816598421209514e-05,-0.015417011757973359
8,1496235.6560944358,4.952868317900956e-15,7.857868623290269e-05,-0.014513309318451767
8,1584893.1924611141,4.952868317900956e-15,7.003399160520501e-05,-0.013657691904593455
8,1678804.018122559,4.952868317900956e-15,6.241853590511842e-05,-0.012847323396792926
8,1778279.410038923,4.952868317900956e-15,5.5631281440671546e-05,-0.01207951702204546
8,1883649.089489802,4.952868317900956e-15,4.958217733057552e-05,-0.011351726423083186
8,1995262.3149688828,4.952868317900956e-15,4.4190965216284336e-05,-0.010661537171950564
8,2113489.0398366475,4.952868317900956e-15,3.938611479366587e-05,-0.010006658698080179
8,2238721.138568338,4.952868317900956e-15,3.510387506681814e-05,-0.009384916601478416
8,2371373.7056616554,4.952868317900956e-15,3.12874287572244e-05,-0.008794245321943978
8,2511886.4315095823,4.952868317900956e-15,2.7886138666539267e-05,-0.008232681135284761
8,2660725.059798814,4.952868317900956e-15,2.485487600881528e-05,-0.0076983554471976995
8,2818382.931264455,4.952868317900956e-15,2.215342181395829e-05,-0.007189488354766363
8,2985382.618917957,4.952868317900956e-15,1.9745933472926935e-05,-0.0067043824442970384
8,3162277.6601683795,4.952868317900956e-15,1.7600469359607923e-05,-0.006241416792318863
8,3349654.3915782794,4.952868317900956e-15,1.5688565235862187e-05,-0.005799041133829355
8,3548133.8923357604,4.952868317900956e-15,1.39848568354003e-05,-0.005375770158022486
8,3758374.0428844434,4.952868317900956e-15,1.246674363826708e-05,-0.004970177886432378
8,3981071.7055349695,4.952868317900956e-15,1.111408939941306e-05,-0.004580892081189336
8,4216965.034285823,4.952868317900956e-15,9.908955490025358e-06,-0.004206588621233492
8,4466835.921509635,4.952868317900956e-15,8.835363556517633e-06,-0.00384598577091598
8,4731512.589614812,4.952868317900956e-15,7.879084406658214e-06,-0.0034978382470807756
8,5011872.336272725,4.952868317900956e-15,7.027450402785542e-06,-0.003160930965498958
8,5308844.442309879,4.952868317900956e-15,6.2691889866193265e-06,-0.002834072312557029
8,5623413.251903491,4.952868317900956e-15,5.594275288531013e-06,-0.0025160867391261638
8,5956621.435290109,4.952868317900956e-15,4.99380209870302e-06,-0.0022058064041767245
8,6309573.444801942,4.952868317900956e-15,4.459865815629565e-06,-0.0019020614961572924
8,6683439.175686149,4.952868317900956e-15,3.985467364480433e-06,-0.0016036687152356163
8,7079457.843841373,4.952868317900956e-15,3.564427534141914e-06,-0.0013094171850723188
8,7498942.093324558,4.952868317900956e-15,3.191316783237978e-06,-0.0010180507398350677
8,7943282.347242822,4.952868317900956e-15,2.861400424707327e-06,-0.0007282450360404716
8,8413951.416451965,4.952868317900956e-15,2.5706014146334238e-06,-0.0004385771598330035
8,8912509.381337458,4.952868317900956e-15,2.315485108346045e-06,-0.0001474841470774299
8,9440608.762859225,4.952868317900956e-15,2.093273996777031e-06,0.0001467952382543762
8,10000000.0,4.952868317900956e-15,1.901906963135075e-06,0.00044630465388227625
