graph,seed,case,noise,method,response_error,full_parameter_rmse,active_parameter_mae,identifiable_coordinate_error,estimate_norm
10,0,10,0.003,fisher8,0.04208349137893512,0.04141041740208126,0.08809258786677142,0.32107734565973345,0.03956483607739458
10,0,10,0.003,oracle8,0.02623878362304834,0.038000517573946395,0.07490228982432477,0.3595940950602115,0.1139301219992494
10,0,10,0.01,full56,0.1410415007322996,0.042051429149415565,0.08757300784057535,1.205065826202146,0.09119603272278241
10,0,10,0.01,group5,0.12673194415198263,0.04212016967545047,0.08644988109778946,1.5486678389801363,0.1076750378859111
10,0,10,0.01,fisher3,0.144772885118497,0.04234742433278655,0.08761976161796493,1.44302485443112,0.10202592939542943
10,0,10,0.01,fisher8,0.1447732614343649,0.04234806668871577,0.08762062475325691,1.4430248544311202,0.10202594040756598
10,0,10,0.01,oracle8,0.2242135947769469,0.04325522209013785,0.10129783931345783,1.2443614582180995,0.26421592526493054
10,0,11,0.001,full56,0.15056033837464292,0.03463030784269067,0.07353063174399911,0.5218797821342186,0.012527221989341907
10,0,11,0.001,group5,0.7363412778058669,0.03468203211332471,0.07402072574385171,0.903865570433635,0.0026709477351652953
10,0,11,0.001,fisher3,0.14517649996500445,0.03462635173536071,0.07349215180823972,0.48170522741020144,0.012920161705517378
10,0,11,0.001,fisher8,0.14517646886649863,0.034626333871807455,0.07349184247635729,0.4817052274102015,0.012920164957193577
10,0,11,0.001,oracle8,0.17178904522695868,0.03402751112263641,0.06932469973449945,0.06668224002013376,0.047599927836442756
10,0,11,0.003,full56,0.7614386112149054,0.03464275532994671,0.0724863298916198,0.6315597956772955,0.030371544166991695
10,0,11,0.003,group5,0.7380726550776232,0.034636434743785485,0.07345615081425698,0.6123057788455781,0.014320926613810353
10,0,11,0.003,fisher3,0.7692050394605301,0.034650698148012894,0.07246193666841191,0.6929117353863342,0.0322935395732505
10,0,11,0.003,fisher8,0.769205110548942,0.03465099597041935,0.07246268881711504,0.6929117353863341,0.03229354214661921
10,0,11,0.003,oracle8,0.7775246522909091,0.03471609853296203,0.07631262615577367,1.031093538625314,0.10253718909719835
10,0,11,0.01,full56,2.2432867416352047,0.03833041353757992,0.07297312569449049,6.323021719233328,0.1384045940061436
10,0,11,0.01,group5,2.3835227494163385,0.039580379180159914,0.07255258042757895,7.33274314852799,0.15927967534280063
10,0,11,0.01,fisher3,2.3443825491560824,0.03956474749559624,0.07296182305353176,7.356841794124733,0.15864653084808159
10,0,11,0.01,fisher8,2.344377427374452,0.03956486913162736,0.07296249920141412,7.356841794124734,0.15864653239183182
10,0,11,0.01,oracle8,1.8283429587690747,0.034284959939392755,0.07113957724766469,0.6756835060708205,0.02504102845968366
10,0,12,0.001,full56,0.044470432018761316,0.029257126968749315,0.06531711671192109,0.09623168296211379,0.06640792978941805
10,0,12,0.001,group5,0.13559724594004785,0.029729240612865318,0.06870020385187872,0.7009306656197637,0.0552293379367018
10,0,12,0.001,fisher3,0.043991435196587846,0.029250627654422653,0.06520752077899794,0.06929255161798986,0.0669713728237627
10,0,12,0.001,fisher8,0.0439914433618372,0.029250555736993457,0.06520738004977475,0.06929255161799,0.0669713729449308
10,0,12,0.001,oracle8,0.03711755778557547,0.026002168423575268,0.05613073396366829,0.03830530693316271,0.11675485088673741
10,0,12,0.003,full56,0.035579740709481826,0.0293348276965394,0.06534927296241759,0.2501343074015496,0.07628384464696224
10,0,12,0.003,group5,0.1331315653556033,0.030056266250179122,0.0671823922715609,0.8801316653202144,0.07488312639964287
10,0,12,0.003,fisher3,0.03522776966712359,0.02940025032872922,0.06540028984041532,0.32801326776279205,0.079174123363894
10,0,12,0.003,fisher8,0.03522769748273554,0.029400474662627185,0.0654015656622137,0.32801326776279227,0.07917412427610401
10,0,12,0.003,oracle8,0.028960289826634327,0.026123694873478865,0.05715963777809954,0.09766810367551501,0.11762091620096049
10,0,12,0.01,full56,0.18040647656138517,0.030698319042957667,0.06540127762361937,1.0106582725139124,0.09670096688135883
10,0,12,0.01,group5,0.20752499878987962,0.030449508760380987,0.07217539228987208,0.9318553761249314,0.045820448506977446
10,0,12,0.01,fisher3,0.18186694187383096,0.030941541286226993,0.06565720012946782,1.0940712282093477,0.09985550441237719
10,0,12,0.01,fisher8,0.18186705769109954,0.030940876527728475,0.06565650480434156,1.094071228209348,0.09985551826294599
10,0,12,0.01,oracle8,0.14612960242705753,0.032995458612850005,0.07224302255264829,0.7470664638691682,0.17203988468220405
10,0,13,0.001,full56,0.018395934153542872,0.039534694919837805,0.08089253648097265,0.08170111422170068,0.02678273815133416
10,0,13,0.001,group5,0.01761655288296565,0.03958948626588394,0.08108917961168252,0.06711961039027547,0.028878773804149126
10,0,13,0.001,fisher3,0.018729402865006614,0.03953438846925378,0.08075332838970371,0.06977186746954625,0.028568578022589358
10,0,13,0.001,fisher8,0.018729412079196008,0.03953448461000764,0.08075307224313304,0.0697718674695462,0.028568578526984256
10,0,13,0.001,oracle8,0.02878711330618499,0.039061336898354136,0.07717716424044768,0.062364881012718955,0.05638779860676783
10,0,13,0.003,full56,0.11510886334657264,0.03957857625746479,0.08126538075521424,0.5234561249103766,0.025369643247699823
10,0,13,0.003,group5,0.09699436668244768,0.039605716397334775,0.08160642758005143,0.4447930003017447,0.023010181035861797
10,0,13,0.003,fisher3,0.11539861884968733,0.03957303478973342,0.08119121336547601,0.4901419645801528,0.025929872362724773
10,0,13,0.003,fisher8,0.11539861758795968,0.039573036611825825,0.08119196426789214,0.49014196458015297,0.025929874710882407
10,0,13,0.003,oracle8,0.1116556251090005,0.039072359589241976,0.0771193909637747,0.14473258129236852,0.06075968022507593
10,0,13,0.01,full56,0.11035137232334785,0.041504260387133694,0.08590127727450876,3.506348927540718,0.0777927414510412
10,0,13,0.01,group5,0.11387589646781468,0.041819319972012936,0.0858100949956333,3.8275771484380137,0.08696048700193003
10,0,13,0.01,fisher3,0.12138709841506488,0.04197440738735731,0.08649128544502646,3.9136472042248958,0.08846355297172093
10,0,13,0.01,fisher8,0.12138754442167343,0.04197526410820947,0.08648731096164658,3.9136472042248935,0.08846358750735014
