budget,case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
0.6,18,4,oracle_edge_current,4.3083098052801303e-07,3.324978332537354e-08,5.81466239143041,6.459610605809225e-06,1.0,0.0,0.625
0.6,18,4,learned_gate,5.979538491386605e-07,2.272174071485732e-08,5.9930645489813505,5.18005100377113e-06,1.0,0.0,0.625
0.6,19,6,distance,4.3406273302221595e-07,2.021712442791568e-08,13.536943090242634,2.852745856440447e-06,1.0,0.0,0.611111111111111
0.6,19,6,magnitude,4.99906166039297e-07,2.6702710407987307e-08,15.398786313389968,3.966008971855197e-06,1.0,0.0,0.611111111111111
0.6,19,6,fisher_proxy,2.751999599974464e-07,2.5569352474574106e-08,12.983531800885789,2.3543744714806985e-06,1.0,0.0,0.611111111111111
0.6,19,6,oracle_edge_current,3.0094070983411466e-07,2.0195998423052426e-08,11.871838226623934,2.198444903592302e-06,1.0,0.0,0.611111111111111
0.6,19,6,learned_gate,3.5246720233491253e-07,2.1199242592588003e-08,12.37903079386567,2.9318289098691496e-06,1.0,0.0,0.611111111111111
0.6,20,8,distance,1.3368026623416147e-06,7.045822341047312e-08,17.043467592349234,9.069141719002392e-06,1.0,0.0,0.59375
0.6,20,8,magnitude,1.1953495591907521e-06,5.8636652976703804e-08,15.010898082397508,7.241291596436096e-06,1.0,0.0,0.59375
0.6,20,8,fisher_proxy,5.695181641299229e-07,6.230289255564675e-08,12.38220602231817,4.133900764724033e-06,1.0,0.0,0.59375
0.6,20,8,oracle_edge_current,6.392279014578543e-07,5.3586161642007626e-08,11.341719141291446,4.104755247391425e-06,1.0,0.0,0.59375
0.6,20,8,learned_gate,8.221743428543648e-07,5.071441998476603e-08,11.85875546460263,4.916864563331114e-06,1.0,0.0,0.59375
0.6,21,4,distance,1.5878862529262553e-06,4.931138044546379e-08,16.42255821256334,1.17484831315027e-05,1.0,0.0,0.625
0.6,21,4,magnitude,1.5878862529262553e-06,4.931138044546379e-08,16.42255821256334,1.17484831315027e-05,1.0,0.0,0.625
0.6,21,4,fisher_proxy,8.208897942127193e-07,6.083407832353162e-08,13.18995176623366,7.511600291242189e-06,1.0,0.0,0.625
0.6,21,4,oracle_edge_current,9.804364711079455e-07,6.51425693921764e-08,12.644452653440256,9.81453114362898e-06,1.0,0.0,0.625
0.6,21,4,learned_gate,1.0202555534530079e-06,5.884777607910059e-08,12.772172652245075,1.309034908641685e-05,1.0,0.0,0.625
0.6,22,6,distance,1.2292702667371022e-06,5.884730806464334e-08,19.406116757999285,9.60440989358766e-06,1.0,0.0,0.611111111111111
0.6,22,6,magnitude,1.2310086925418003e-06,5.221259127167864e-08,18.113566566605527,8.630994638895669e-06,1.0,0.0,0.611111111111111
0.6,22,6,fisher_proxy,6.229838482930035e-07,5.25631435193267e-08,14.078790029110127,5.527821804126835e-06,1.0,0.0,0.611111111111111
0.6,22,6,oracle_edge_current,6.815746575325581e-07,4.653663823204727e-08,13.637662572956788,3.8053755738509977e-06,1.0,0.0,0.611111111111111
0.6,22,6,learned_gate,7.467900543538473e-07,4.4212300380001415e-08,13.884032777854552,5.0919263795179085e-06,1.0,0.0,0.611111111111111
0.6,23,8,distance,9.547151335121315e-07,5.343847365878252e-08,18.394212444249668,6.169507115234581e-06,1.0,0.0,0.59375
0.6,23,8,magnitude,8.824536927314978e-07,4.924009552081429e-08,17.307824402144362,5.393408749960973e-06,1.0,0.0,0.59375
0.6,23,8,fisher_proxy,4.620577927267703e-07,5.082169884375595e-08,14.001587087247106,3.3307196139334176e-06,1.0,0.0,0.59375
0.6,23,8,oracle_edge_current,5.001021632848139e-07,4.591193260561387e-08,13.745582560888062,3.285166748470451e-06,1.0,0.0,0.59375
0.6,23,8,learned_gate,6.203880632657995e-07,4.386435254890914e-08,14.27087599251001,3.7762998650882045e-06,1.0,0.0,0.59375
0.6,24,4,distance,5.820182529256886e-07,1.5646585879415524e-08,16.058372225014832,3.906306207030206e-06,1.0,0.0,0.625
0.6,24,4,magnitude,5.820182529256886e-07,1.5646585879415524e-08,16.058372225014832,3.906306207030206e-06,1.0,0.0,0.625
0.6,24,4,fisher_proxy,2.859132419023395e-07,1.8623992393066138e-08,12.437658692071773,2.3084219275532157e-06,1.0,0.0,0.625
0.6,24,4,oracle_edge_current,3.6352052888756943e-07,1.8368356599549683e-08,12.148620636490557,4.316584865064415e-06,1.0,0.0,0.625
0.6,24,4,learned_gate,3.6352052888756943e-07,1.8368356599549683e-08,12.148620636490557,4.316584865064415e-06,1.0,0.0,0.625
0.6,25,6,distance,5.821269195941762e-07,2.5864495585249972e-08,12.715225895495111,3.822982245898674e-06,1.0,0.0,0.611111111111111
0.6,25,6,magnitude,6.532077213861528e-07,2.8678681273340198e-08,13.627587612636427,4.5817145116384e-06,1.0,0.0,0.611111111111111
0.6,25,6,fisher_proxy,3.5774861690286247e-07,3.584840257112959e-08,12.800049777917463,3.208185507387867e-06,1.0,0.0,0.611111111111111
0.6,25,6,oracle_edge_current,4.399713536590762e-07,2.9448519855351175e-08,11.331024331014596,3.3202912608023975e-06,1.0,0.0,0.611111111111111
0.6,25,6,learned_gate,4.641530000526935e-07,2.749908958450821e-08,11.522420189556136,3.945460937582882e-06,1.0,0.0,0.611111111111111
0.6,26,8,distance,9.298006504323877e-07,4.606069901258314e-08,15.391816677520495,4.8909870018270515e-06,1.0,0.0,0.59375
0.6,26,8,magnitude,9.298006504323877e-07,4.606069901258314e-08,15.391816677520495,4.8909870018270515e-06,1.0,0.0,0.59375
0.6,26,8,fisher_proxy,5.743877753995828e-07,6.200522652073353e-08,15.551767426422302,3.8796427361550774e-06,1.0,0.0,0.59375
0.6,26,8,oracle_edge_current,5.964691813405837e-07,4.4841551462553825e-08,12.693509050717894,3.793721749893617e-06,1.0,0.0,0.59375
0.6,26,8,learned_gate,7.184358933985899e-07,4.904315779001129e-08,13.541026749923704,5.07281763344696e-06,1.0,0.0,0.59375
0.6,27,4,distance,3.9212748759881915e-07,1.5796653653662036e-08,7.08136644728343,3.42478739910141e-06,1.0,0.0,0.625
0.6,27,4,magnitude,3.9212748759881915e-07,1.5796653653662036e-08,7.08136644728343,3.42478739910141e-06,1.0,0.0,0.625
0.6,27,4,fisher_proxy,3.266222044766287e-07,3.720505667487912e-08,11.339070892371799,4.545386193389547e-06,1.0,0.0,0.625
0.6,27,4,oracle_edge_current,2.913343917214373e-07,2.2354734478548282e-08,6.927299282038511,4.2104006952862514e-06,1.0,0.0,0.625
0.6,27,4,learned_gate,3.9212748759881915e-07,1.5796653653662036e-08,7.08136644728343,3.42478739910141e-06,1.0,0.0,0.625
0.6,28,6,distance,6.168257941141509e-07,3.362914558376406e-08,9.198851979321914,4.3548403531070145e-06,1.0,0.0,0.611111111111111
0.6,28,6,magnitude,8.313311966881102e-07,4.261024714931361e-08,11.191370330465752,7.31462290207565e-06,1.0,0.0,0.611111111111111
0.6,28,6,fisher_proxy,5.024377791584359e-07,5.979791465069661e-08,12.746112138006305,4.8140125542014045e-06,1.0,0.0,0.611111111111111
0.6,28,6,oracle_edge_current,5.112200507387717e-07,3.740988160457608e-08,9.00345967476676,4.597712551111732e-06,1.0,0.0,0.611111111111111
0.6,28,6,learned_gate,6.168257941141509e-07,3.362914558376406e-08,9.198851979321914,4.3548403531070145e-06,1.0,0.0,0.611111111111111
0.6,29,8,distance,1.7311105082242855e-06,8.946524963708944e-08,22.124014567084007,1.0957824290310173e-05,1.0,0.0,0.59375
0.6,29,8,magnitude,1.808433004500965e-06,8.190724910066577e-08,21.888996091123335,1.1087580333409657e-05,1.0,0.0,0.59375
0.6,29,8,fisher_proxy,8.177499386688667e-07,8.243504879923481e-08,16.09081743982567,5.747994244974491e-06,1.0,0.0,0.59375
0.6,29,8,oracle_edge_current,9.156665152474513e-07,7.2314522691966e-08,15.705890104552154,5.369236736816165e-06,1.0,0.0,0.59375
0.6,29,8,learned_gate,1.0605823509318366e-06,7.54002147476987e-08,16.381147279571657,7.0694024337525035e-06,1.0,0.0,0.59375
0.6,30,4,distance,8.081899132626342e-07,2.790391948505503e-08,11.637183755915336,6.371476724609327e-06,1.0,0.0,0.625
0.6,30,4,magnitude,8.081899132626342e-07,2.790391948505503e-08,11.637183755915336,6.371476724609327e-06,1.0,0.0,0.625
0.6,30,4,fisher_proxy,4.928023528231554e-07,4.6584131004819837e-08,12.586334036573637,5.679202478041464e-06,1.0,0.0,0.625
0.6,30,4,oracle_edge_current,5.468804273375411e-07,3.6927819608293095e-08,10.182197142715466,7.496018381456244e-06,1.0,0.0,0.625
0.6,30,4,learned_gate,5.468804273375411e-07,3.6927819608293095e-08,10.182197142715466,7.496018381456244e-06,1.0,0.0,0.625
0.6,31,6,distance,7.903249831307339e-07,3.811213098482434e-08,16.753644185307355,5.421179842640526e-06,1.0,0.0,0.611111111111111
0.6,31,6,magnitude,1.106367987611471e-06,3.754854221404573e-08,20.408076220760687,6.596743466055218e-06,1.0,0.0,0.611111111111111
0.6,31,6,fisher_proxy,5.312056034230868e-07,4.784807104429918e-08,16.468958325845414,4.566177254263227e-06,1.0,0.0,0.611111111111111
0.6,31,6,oracle_edge_current,6.163058837877858e-07,3.6657246033393355e-08,15.523964121590911,4.656239444867971e-06,1.0,0.0,0.611111111111111
0.6,31,6,learned_gate,6.738897112006555e-07,4.017223287914364e-08,15.82171968088953,5.574304596279098e-06,1.0,0.0,0.611111111111111
0.6,32,8,distance,2.657686476843779e-07,1.5228498602425925e-08,12.548108159706473,1.6835482664614445e-06,1.0,0.0,0.59375
0.6,32,8,magnitude,3.478635744512635e-07,1.5922570746798627e-08,14.972810149228966,2.004481888747036e-06,1.0,0.0,0.59375
0.6,32,8,fisher_proxy,1.734684185245259e-07,1.9990569060710946e-08,13.931371624815265,1.2145116011857692e-06,1.0,0.0,0.59375
0.6,32,8,oracle_edge_current,1.8394341621599345e-07,1.3201267890026013e-08,10.891911112951846,1.1365354132647961e-06,1.0,0.0,0.59375
0.6,32,8,learned_gate,2.1857163555472532e-07,1.444003323208974e-08,11.257462800578203,1.4317552961079743e-06,1.0,0.0,0.59375
0.6,33,4,distance,8.365155081577549e-07,2.5690672410662447e-08,16.53412184375365,6.058486002666837e-06,1.0,0.0,0.625
