case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
48,4,oracle_edge_current,1.716818041612936e-06,1.239747609400036e-07,33.78508372321364,2.6584810888666874e-05,1.0,0.0,0.375
48,4,learned_gate,1.716818041612936e-06,1.239747609400036e-07,33.78508372321364,2.6584810888666874e-05,1.0,0.0,0.375
49,6,distance,1.0900057320011615e-06,6.365556521514562e-08,29.381476872443614,8.578124870246635e-06,1.0,0.0,0.38888888888888884
49,6,magnitude,1.0702782513878512e-06,6.175372441308024e-08,28.76302444201409,8.46461947892865e-06,1.0,0.0,0.38888888888888884
49,6,fisher_proxy,6.971737859755069e-07,7.02877318689545e-08,26.572033425668074,7.203240695238538e-06,1.0,0.0,0.38888888888888884
49,6,oracle_edge_current,7.311925224339859e-07,6.051577226446497e-08,25.160878625510353,6.444467109171941e-06,1.0,0.0,0.38888888888888884
49,6,learned_gate,7.311925224339859e-07,6.051577226446497e-08,25.160878625510353,6.444467109171941e-06,1.0,0.0,0.38888888888888884
50,8,distance,1.4824741454832803e-06,9.452028287251004e-08,34.02301884008028,9.592177595033135e-06,1.0,0.0,0.40625
50,8,magnitude,1.9160867241831136e-06,9.941693564564787e-08,39.57332841027066,1.1991270504754156e-05,1.0,0.0,0.40625
50,8,fisher_proxy,1.0217692267722178e-06,1.045315676766148e-07,32.019293353843864,7.81532932475212e-06,1.0,0.0,0.40625
50,8,oracle_edge_current,1.0716747949644085e-06,8.402689924782869e-08,29.833690489177606,7.275255632098027e-06,1.0,0.0,0.40625
50,8,learned_gate,1.1211566294209996e-06,8.47977453710917e-08,29.8952288060293,7.590009610371368e-06,1.0,0.0,0.40625
51,4,distance,2.5386602289711085e-06,8.529110183580018e-08,42.053195765964865,2.418702159068531e-05,1.0,0.0,0.375
51,4,magnitude,1.8228540008662548e-06,8.994798737385334e-08,33.53968933941588,2.493349465137763e-05,1.0,0.0,0.375
