noise_pct,fault_change_pct,fault_section,repeat,predicted_section,full_location_correct,predicted_group,true_group,group_location_correct,full_true_section_amplitude_error_pct,group_true_amplitude_error_pct,delta_cps1_pct,delta_cps2_pct,delta_cps3_pct,delta_cps4_pct
0.05,5.0,1,105,1,1,1,1,1,2.974149239682142,5.395159504789511,5.1524752922577175,0.6586573731039267,-0.025343283195898625,-0.8410672577982405
0.05,5.0,1,106,1,1,1,1,1,2.0978790553353943,3.017222198228937,4.892581327339989,0.45140938652646195,-0.5998649456540563,0.6593150788600828
0.05,5.0,1,107,1,1,1,1,1,8.589598682773572,10.045241464088399,5.440965697976629,0.02944238633022748,-0.2880021418178431,0.6867008072694875
0.05,5.0,1,108,1,1,1,1,1,10.755573903059172,8.585050409184486,5.5524528023397535,-0.2966949663637416,0.07158970377312832,0.2337449598839609
0.05,5.0,1,109,1,1,1,1,1,3.4763304694960513,2.1139687659087505,5.178242387410335,-0.3724317264620134,-0.10223238234375104,0.770447160792309
0.05,5.0,1,110,1,1,1,1,1,5.364710528529862,5.341838323517943,5.275192356930955,0.2854536654174039,0.11248004197481444,-0.7389506259645424
0.05,5.0,1,111,1,1,1,1,1,13.817654720267164,7.518238990846294,5.710265416930941,-0.5482184086658238,0.5739251703536132,-0.48894278397115554
0.05,5.0,1,112,1,1,1,1,1,4.564259551141384,2.4336253473551928,4.7664346395573185,0.12782546272649892,-0.32135026132998434,0.6325387745017256
0.05,5.0,1,113,1,1,1,1,1,9.30543334401678,3.405441380730007,4.524366236499793,0.7739789134322587,-0.5038741883575141,0.046090575975726744
0.05,5.0,1,114,1,1,1,1,1,4.438574164842967,3.5491172249677723,5.227633091029831,-0.181257071976182,-0.05507665850963603,0.33982391564477776
0.05,5.0,1,115,1,1,1,1,1,0.48931225832485703,1.6010251359747145,4.974935685314871,-0.10623514500554818,0.038230441539940416,0.07377644082999715
0.05,5.0,1,116,1,1,1,1,1,5.844052297187845,6.679458805684987,4.701037537233552,0.004573265489037722,0.07473669392829697,-0.1185497404770021
0.05,5.0,1,117,1,1,1,1,1,2.0565936362384627,0.49830036855973964,4.894694223356147,-0.09465410766659607,-0.3844905463073463,1.0138933457114667
0.05,5.0,1,118,1,1,1,1,1,7.116685710935194,5.042227307932335,5.365219175246933,-0.19302262469348969,0.12626508766946737,-0.06258208154815444
0.05,5.0,1,119,1,1,1,1,1,9.79328699283163,9.329038232774565,5.502907413575302,-0.07698888825605579,-0.05375865754342082,0.24864924780713943
