case,n,method,scenario,budget,port_error_pct,node_voltage_error_pct,branch_current_error_pct,displacement_current_error_pct,solve_ms,c_keep,m_keep
1,4,distance,joint,0.9,98.48287544259256,5.199159243540767,98.4372354906264,5.474226123426202,3.772199999730219,0.875,0.8928571428571428
1,4,distance,C_only,0.95,4.315296582004529e-08,3.270875206202889e-09,7.747991442352701e-09,0.08764544108711217,3.3402500002921443,0.9375,1.0
1,4,distance,M_only,0.95,96.28075209257896,8.112683917473582,96.38586885907344,8.21678132546929,7.0346000002246,1.0,0.9642857142857142
1,4,distance,joint,0.95,96.28075209253277,8.112683955224659,96.38586885948406,8.217249084054934,7.340800000747549,0.9375,0.9642857142857142
1,4,distance,C_only,1.0,0.0,0.0,0.0,0.0,4.530649999651359,1.0,1.0
1,4,distance,M_only,1.0,0.0,0.0,0.0,0.0,6.6607999997359,1.0,1.0
1,4,distance,joint,1.0,0.0,0.0,0.0,0.0,3.9411999996445957,1.0,1.0
1,4,magnitude,C_only,0.4,1.6229749396804546e-05,1.0158891333775532e-05,2.0346781628514527e-06,11.944245878657563,5.7954500007326715,0.375,1.0
1,4,magnitude,M_only,0.4,98.11901579892711,12.106203126372565,98.78470344725247,10.493410215043829,3.9082500006770715,1.0,0.39285714285714285
1,4,magnitude,joint,0.4,98.11901505185719,12.106204312970494,98.78470279551308,15.842011354278338,4.227499999615247,0.375,0.39285714285714285
1,4,magnitude,C_only,0.6,1.5937676690671617e-06,9.005125491636862e-07,1.9865252498816472e-07,1.2483094656340967,3.5565000007409253,0.625,1.0
1,4,magnitude,M_only,0.6,97.84000411238894,16.560520772290907,98.19611483743725,13.066563688395789,3.877650000504218,1.0,0.6071428571428571
1,4,magnitude,joint,0.6,97.84000405942686,16.560520839029564,98.19611478512968,13.123255575471719,3.6715500009449897,0.625,0.6071428571428571
1,4,magnitude,C_only,0.8,5.368100709029794e-07,4.5307819787248505e-08,8.832420727229861e-08,0.8241416354317512,3.2502499989277567,0.8125,1.0
1,4,magnitude,M_only,0.8,483.35776660664544,0.00047111634201282425,223.13147683829558,0.0023138969257476454,3.5940499992648256,1.0,0.7857142857142857
1,4,magnitude,joint,0.8,483.3577666020934,0.0004697123977690961,223.13147683829553,0.8241448590779619,3.178450000632438,0.8125,0.7857142857142857
1,4,magnitude,C_only,0.9,7.115069286964787e-08,1.6608995432025815e-08,8.236807173493452e-09,0.09317471289095407,3.3549499994478538,0.875,1.0
1,4,magnitude,M_only,0.9,75.86726159740847,25.29088601045509,76.06391343441538,21.53645455021486,3.310800000690506,1.0,0.8928571428571428
1,4,magnitude,joint,0.9,75.8672615827998,25.290885997232653,76.06391343230013,21.53665483265386,3.5879999995813705,0.875,0.8928571428571428
1,4,magnitude,C_only,0.95,4.315296582004529e-08,3.270875206202889e-09,7.747991442352701e-09,0.08764544108711217,3.5551000000850763,0.9375,1.0
1,4,magnitude,M_only,0.95,76.52679199046794,16.196323792450805,76.54069704716508,13.832658457997715,4.33809999958612,1.0,0.9642857142857142
1,4,magnitude,joint,0.95,76.52679198968796,16.196323787272075,76.54069704511342,13.832934408586203,7.997199999408622,0.9375,0.9642857142857142
1,4,magnitude,C_only,1.0,0.0,0.0,0.0,0.0,3.702099999827624,1.0,1.0
1,4,magnitude,M_only,1.0,0.0,0.0,0.0,0.0,3.708850000293751,1.0,1.0
1,4,magnitude,joint,1.0,0.0,0.0,0.0,0.0,3.4162000001742854,1.0,1.0
1,4,physics_proxy,C_only,0.4,1.0364514793433453e-05,1.1899398408500683e-05,2.171868902563104e-06,9.255890384394364,3.5916999986511655,0.375,1.0
1,4,physics_proxy,M_only,0.4,97.45430344630587,9.705066227866345,98.37719979823841,10.67411284975855,3.8413000002037734,1.0,0.39285714285714285
1,4,physics_proxy,joint,0.4,97.45429994729388,9.705067968722165,98.37720016237725,14.04043607669457,3.6418500003492227,0.375,0.39285714285714285
1,4,physics_proxy,C_only,0.6,1.5937676690671617e-06,9.005125491636862e-07,1.9865252498816472e-07,1.2483094656340967,3.6334000005808775,0.625,1.0
1,4,physics_proxy,M_only,0.6,96.08175750827486,17.688553343428506,96.75019154571078,19.65936541888503,4.231099999742582,1.0,0.6071428571428571
1,4,physics_proxy,joint,0.6,96.08175677274217,17.688554037368,96.75019157551468,19.696546907089186,3.8995000004433678,0.625,0.6071428571428571
1,4,physics_proxy,C_only,0.8,5.60744848039767e-07,3.363512840147614e-07,4.887988200460522e-08,0.4666990079181842,4.004699999313743,0.8125,1.0
1,4,physics_proxy,M_only,0.8,483.35776660664544,0.00047111634201282425,223.13147683829558,0.0023138969257476454,3.7491000002773944,1.0,0.7857142857142857
1,4,physics_proxy,joint,0.8,483.3577665819427,0.0004701543118991775,223.13147683829553,0.46670472302273014,3.436599999986356,0.8125,0.7857142857142857
1,4,physics_proxy,C_only,0.9,7.115069286964787e-08,1.6608995432025815e-08,8.236807173493452e-09,0.09317471289095407,4.189599999335769,0.875,1.0
