frequency_hz,abs_zin_full_ohm,abs_zin_literature_ohm,abs_ips_full_a,abs_ips_literature_a
251188.6431509582,1.7061320160202427,1.7061309056883291,8.780595307682567e-06,8.78059532795415e-06
261015.72156825333,1.7728820030970451,1.77288075727655,9.124111354204577e-06,9.124111376949538e-06
271227.25793320296,1.842244009981516,1.8422426121389712,9.481066630477223e-06,9.481066655997363e-06
281838.2931264455,1.9143202860632773,1.9143187176475418,9.851986912901248e-06,9.85198694153519e-06
292864.4564625237,1.9892170889112213,1.9892153291069794,1.0237418548106567e-05,1.0237418580234239e-05
304321.98871077225,2.0670448420341714,2.0670428674860784,1.0637929257774597e-05,1.063792929382229e-05
316227.7660168379,2.1479182989305152,2.1479160834329125,1.1054108974955827e-05,1.105410901540186e-05
328599.3247600654,2.231956713687912,2.2319542278367717,1.1486570713115814e-05,1.1486570758496848e-05
341454.88738336007,2.3192840184024406,2.3192812292052722,1.1935951469190848e-05,1.193595152010904e-05
354813.3892335753,2.410029007705801,2.410025878143405,1.240291316198569e-05,1.2402913219116663e-05
368694.50645195734,2.5043255306953265,2.5043220192304956,1.2888143607296901e-05,1.2888143671398731e-05
383118.6849557293,2.6023126905816474,2.6023087506073863,1.3392357531200788e-05,1.339235760312403e-05
398107.1705534969,2.7041350523792795,2.7041306316001887,1.391629762300036e-05,1.3916297703699385e-05
413682.04023885116,2.8099428589847473,2.80993789872227,1.4460735629385632e-05,1.4460735719931225e-05
429866.2347082272,2.91989225600067,2.919886690414004,1.5026473491420786e-05,1.5026473593014397e-05
446683.5921509635,3.0341455256869243,3.0341392808986196,1.56143445260382e-05,1.5614344640027874e-05
464158.8833612772,3.1528713304317564,3.1528643235462965,1.622521465378097e-05,1.6225214781679253e-05
482317.8482239309,3.276244966163872,3.2762371041668596,1.6859983674609313e-05,1.685998381811329e-05
501187.2336272725,3.4044486261446756,3.4044398046669193,1.7519586593652415e-05,1.7519586754666253e-05
520794.83285954647,3.5376716756014934,3.537661777532656,1.8204994998865835e-05,1.8204995179526057e-05
541169.5265464637,3.676110937692735,3.6760998316251494,1.8917218492628533e-05,1.8917218695332353e-05
562341.3251903491,3.8199709913167785,3.8199585297993086,1.9657306179395543e-05,1.9657306406832607e-05
584341.4133735176,3.969464481312046,3.96945049889099,2.0426348211604984e-05,2.0426348466793233e-05
607202.1956909883,4.124812441619787,4.124796752639102,2.1225477396125318e-05,2.1225477682450884e-05
630957.344480193,4.2862446320204395,4.286227028154286,2.205587086361832e-05,2.2055871184880486e-05
655641.8494179785,4.453999889087243,4.453980136570442,2.2918751803287772e-05,2.291875216374941e-05
681292.0690579622,4.628326492041166,4.6283043285606,2.3815391265581015e-05,2.381539167002512e-05
707945.7843841374,4.809482544234829,4.809457675441676,2.4747110035512263e-05,2.4747110489305526e-05
735642.2544596421,4.997736371035743,4.997708466629148,2.57152805793831e-05,2.571528108854693e-05
764422.2742525995,5.19336693493246,5.193335624266497,2.6721329067782663e-05,2.6721329639073217e-05
794328.2347242822,5.396664268740944,5.396629135891604,2.7766737477869444e-05,2.776673811886726e-05
825404.1852680173,5.607929927845692,5.607890506076152,2.8853045778049936e-05,2.8853046497260503e-05
857695.8985908945,5.827477462477653,5.827433228024433,2.9981854198299e-05,2.998185500526564e-05
891250.9381337459,6.055632911101648,6.0555832761998465,3.1154825589490794e-05,3.115482649492121e-05
926118.7281287938,6.292735316056321,6.292679621111115,3.237368787524789e-05,3.237368889115634e-05
962350.6263980888,6.53913726268702,6.539074767485139,3.364023659995316e-05,3.3640237739819825e-05
1000000.0,6.795205443295385,6.795135317139787,3.4956337576716576e-05,3.495633885566643e-05
1039122.3038351691,7.061321247331334,7.061242557965804,3.6323929639239935e-05,3.6323931074243466e-05
1079775.1623277094,7.337881379374872,7.337793080549169,3.7745027501681886e-05,3.7745029111780246e-05
1122018.4543019629,7.625298506565505,7.625199424075021,3.9221724730789456e-05,3.922172653734698e-05
